,language1,language2,distance
399,Afar,Albanian_(Tosk),89.5
400,Afar,Aleut,94.3
401,Afar,Altai,89.5
402,Afar,Amharic,82.8
403,Afar,Arabic,88.9
404,Afar,Aramaic_(Syriac),89.5
405,Afar,Arbanaski,89.5
406,Afar,Armenian,95.4
407,Afar,Armenian_(Eastern),95.4
408,Afar,Assamese,91.7
409,Afar,Avar,88.6
410,Afar,Azeri,91.7
411,Afar,Balochi,78.5
412,Afar,Basaa,100.0
413,Afar,Bashkir,86.0
414,Afar,Basque,93.5
415,Afar,Belarusian,95.0
416,Afar,Bemba,86.1
417,Afar,Bengali,91.7
418,Afar,Bihari,90.7
419,Afar,Bole,79.4
420,Afar,Brahui,92.7
421,Afar,Brazilian,93.5
422,Afar,Breton,90.2
423,Afar,Bulgarian,94.4
424,Afar,Burmese,84.9
425,Afar,Burushaski,85.6
426,Afar,Buryat,86.9
427,Afar,Buyang,82.2
428,Afar,Catalan,93.5
429,Afar,Cebuano,91.4
430,Afar,Chechen,95.0
431,Afar,Chinese_(Cantonese),88.0
432,Afar,Chinese_(Mandarin),90.4
433,Afar,Chuvash,95.4
434,Afar,Comorian,100.0
435,Afar,Cornish,87.8
436,Afar,Croatian,94.4
437,Afar,Czech,97.2
438,Afar,Danish,88.6
439,Afar,Dargwa,96.9
440,Afar,Dhivehi_(Maldivian),88.4
441,Afar,Ossetic_(Digor),89.0
442,Afar,Dizi,86.4
443,Afar,Douala,84.4
444,Afar,Dutch,88.6
445,Afar,English,90.2
446,Afar,Estonian,89.5
447,Afar,Even,91.6
448,Afar,Faroese,89.0
449,Afar,Finnish,84.8
450,Afar,Flemish,88.6
451,Afar,French,93.5
452,Afar,Frisian,92.3
453,Afar,Friulian,93.5
454,Afar,Fula,89.5
455,Afar,Galician,93.5
456,Afar,Gelao,92.2
457,Afar,Georgian,93.8
458,Afar,German,91.7
459,Afar,Greek_(modern),83.4
460,Afar,Greenlandic_(Eastern),95.0
461,Afar,Greenlandic_(Western),89.5
462,Afar,Gujarati,92.6
463,Afar,Gypsy_Romani,91.7
464,Afar,Hausa,81.2
465,Afar,Hebrew,90.7
466,Afar,Hindi,77.8
467,Afar,Hungarian,92.2
468,Afar,Icelandic,86.9
469,Afar,Igbo,88.9
470,Afar,Indonesian,91.2
471,Afar,Irish,91.1
472,Afar,Ossetic_(Iron),88.4
473,Afar,Ishkashimi,81.9
474,Afar,Istro-Romanian,86.7
475,Afar,Italian,93.5
476,Afar,Japanese,90.0
477,Afar,Javanese,88.9
478,Afar,Kabardino_Cherkess,93.3
479,Afar,Kabylian,87.8
480,Afar,Kalasha,90.9
481,Afar,Kalmyk,88.4
482,Afar,Kannada,87.3
483,Afar,Karelian,92.2
484,Afar,Kashmiri,86.4
485,Afar,Kazakh,87.7
486,Afar,Ket,85.1
487,Afar,Khanti,92.2
488,Afar,Khmer,95.5
489,Afar,Khowar,90.7
490,Afar,Kivalliq,85.8
491,Afar,Komi,92.6
492,Afar,Korean,80.7
493,Afar,Kurdish,86.1
494,Afar,Kurukh,79.6
495,Afar,Kyrgyz,89.5
496,Afar,Labrador_Inuttut,92.8
497,Afar,Ladin,93.5
498,Afar,Lahnda,84.3
499,Afar,Lak,89.5
500,Afar,Lao,87.0
501,Afar,Latvian,94.0
502,Afar,Letzebuergesch,92.3
503,Afar,Lezgian,88.9
504,Afar,Lithuanian,89.4
505,Afar,Macedonian,91.7
506,Afar,Magahi,88.0
507,Afar,Malagasy,85.2
508,Afar,Malayalam,88.6
509,Afar,Maltese,88.9
510,Afar,Mansi,95.0
511,Afar,Maori,73.8
512,Afar,Marathi,88.0
513,Afar,Mari,94.8
514,Afar,Marwari,88.9
515,Afar,Mon,87.7
516,Afar,Mongolian,87.7
